#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-03-05 11:15:40.293
#Start: 50 Hz
#Stop: 20000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43531 V
#Offset: -0.000212314 V
#Relative: no
#Channel: Channel 2
#Range: 5.42122 V
#Offset: 0.000158598 V
#Relative: yes
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3 V
#Negative Supply: ON
#Voltage: -3 V

Frequency (Hz),Channel 1 Magnitude (X),Channel 2 Magnitude (X),Channel 2 Phase (deg)
50.00000000000004,1.000617773298442,1.037754730164791,-3.972840644108175
52.03757753009274,1.000587982088754,1.037615918583944,-4.138631361180444
54.15818950400821,1.000603736710601,1.03742135348181,-4.311423457163414
56.3652197040856,1.000616669876777,1.037214370472167,-4.488788080486586
58.66218980704126,1.000617025334702,1.036975008663304,-4.672857806911548
61.05276500337846,1.000610003976106,1.036742801377449,-4.864212143365677
63.54075984579674,1.000611554996926,1.03648726940564,-5.067886648183489
66.13014433593291,1.00060717796162,1.036217610835134,-5.279722338861873
68.82505025914666,1.000624162797268,1.035958976791685,-5.497802174235943
71.62977777745742,1.000614226087137,1.035644952427007,-5.726217624295089
74.54880229115496,1.000618336244218,1.035294696644333,-5.963515369478728
77.58678158003065,1.000592929244707,1.034949676990171,-6.212574396336819
80.74856323562418,1.000623922681023,1.034543744090836,-6.471391449580395
84.03919239634772,1.000609556574436,1.034125889298278,-6.739840731345311
87.46391979782652,1.000612064755589,1.033693496416722,-7.023989022299673
91.02821015130404,1.000615488987994,1.033197339642479,-7.31780391261222
94.73775086348111,1.000598431784959,1.032704868413429,-7.626864143463337
98.59846111170009,1.000611153289332,1.03211386294964,-7.946398526382247
102.6165012889585,1.000608533278656,1.031552875740793,-8.280858216286951
106.7982828338207,1.00061273045388,1.03086227809743,-8.634485003444794
111.1504784609142,1.000568368745883,1.030186890810533,-9.000421016693778
115.6800328083345,1.000600791034565,1.029395858901942,-9.385279242707
120.3941735189474,1.000618997621534,1.028570809638873,-9.786606393745814
125.3004227732732,1.000584379303267,1.027675202941378,-10.20777818401848
130.406609292352,1.000614782540747,1.026683714240059,-10.64853905134748
135.7208808297454,1.000582097240999,1.025643942589336,-11.11191646172189
141.251717172607,1.000592018665456,1.024469950330158,-11.59679969122048
147.0079436725651,1.000606794854138,1.023220122178016,-12.10656055311799
152.9987453280123,1.000577707560359,1.021901970385622,-12.64074134295042
159.233681440267,1.000617479320978,1.020348613157935,-13.20349883226967
165.7227008669994,1.000597208891543,1.018748100435624,-13.79510078237252
